version,removed_version,table_name,display_name,description,term_reference,comments,history_references,date_modified
next,NA,cataloged_unit,cataloged unit,,,,,
next,NA,collecting_event,collecting event,,,,,
next,NA,collected_unit,collected unit,,,,,
next,NA,event,event,,,,,
next,NA,identification,identification,,,,,
next,NA,identifiable_unit,identifiable unit,"The smallest recognised (not recognisable) ”thing” in the collection, either explicitly labelled with an identifier or implicitly understood as a separate unit based on its characteristics. The identifiable unit is the same as the physical unit, except in cases where the physical unit consist of multiple recognised individuals that are physically inseparable.",,,,
next,NA,individual_group,individual group,,,,,
next,NA,material_sample,material sample,"The smallest distinguished physical ”thing” in the collection, which is assumed to be a result of a single collecting event. A material sample is distinct from other material samples and may be derived from another material sample",,,,
future,NA,measurement,measurement,,,,,
next,NA,observation,observation,"The data measured, collected, perceived or noticed by an agent (e.g. a person or a machine) during a single event.",,,,
next,NA,observation_type,observation type,,,,,
next,NA,preparation,preparation,A physical artifact containing one or more material samples or one or more preparations.,,,,
future,NA,transaction_unit,transaction unit,The participation of one or more material samples in a transaction (e.g. a loan).,,,,
next,NA,transcribed_content,transcribed content,,,,,
